mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.264,0.86,1.529,0.26,0.447,0.048,2.284,4.222,0.0
0.288,0.848,1.212,0.183,0.393,0.085,1.872,4.031,0.0
0.35,0.84,0.51,0.158,0.365,0.081,1.114,3.943,0.0
0.365,0.842,0.4,0.15,0.359,0.07,0.979,3.91,0.0
0.324,0.856,0.383,0.153,0.34,0.065,0.941,3.909,0.0
0.382,0.848,0.366,0.143,0.362,0.064,0.935,3.846,0.0
0.38,0.849,0.38,0.135,0.35,0.062,0.927,3.862,0.0
0.348,0.856,0.397,0.133,0.345,0.06,0.934,3.886,0.0
0.437,0.838,0.268,0.123,0.353,0.06,0.805,3.849,0.0
0.391,0.846,0.303,0.133,0.369,0.058,0.863,3.885,0.0
0.439,0.84,0.355,0.131,0.358,0.059,0.904,3.819,0.0
0.45,0.84,0.342,0.128,0.352,0.064,0.886,3.845,0.0
0.412,0.844,0.289,0.123,0.353,0.057,0.822,3.839,0.0
0.433,0.836,0.295,0.127,0.359,0.061,0.841,3.846,0.0
0.438,0.841,0.263,0.117,0.345,0.057,0.782,3.822,0.0
0.514,0.836,0.252,0.113,0.348,0.061,0.773,3.836,0.0
0.524,0.832,0.216,0.107,0.342,0.063,0.728,3.838,0.0
0.454,0.848,0.282,0.111,0.325,0.06,0.779,3.827,0.0
0.409,0.85,0.302,0.108,0.309,0.054,0.772,3.847,0.0
0.542,0.843,0.272,0.102,0.318,0.068,0.759,3.807,0.0
0.525,0.854,0.199,0.094,0.297,0.056,0.645,3.826,0.0
0.521,0.88,0.263,0.091,0.256,0.053,0.663,3.802,0.0
0.485,0.871,0.194,0.087,0.265,0.052,0.598,3.828,0.0
0.524,0.89,0.255,0.086,0.248,0.047,0.636,3.808,0.0
0.564,0.895,0.233,0.084,0.253,0.06,0.63,3.802,0.0
0.467,0.906,0.219,0.077,0.203,0.047,0.546,3.842,0.0
0.567,0.898,0.246,0.081,0.235,0.053,0.615,3.791,0.0
0.522,0.922,0.19,0.08,0.202,0.05,0.521,3.809,0.0
0.548,0.924,0.257,0.074,0.196,0.049,0.576,3.795,0.0
0.533,0.923,0.217,0.072,0.184,0.048,0.522,3.81,0.0
0.474,0.929,0.24,0.072,0.18,0.043,0.535,3.809,0.0
0.618,0.924,0.188,0.074,0.178,0.048,0.488,3.778,0.0
0.487,0.941,0.177,0.07,0.154,0.04,0.441,3.849,0.0
0.563,0.938,0.18,0.061,0.157,0.044,0.442,3.8,0.0
0.568,0.939,0.193,0.065,0.154,0.042,0.455,3.808,0.0
0.573,0.949,0.159,0.057,0.127,0.041,0.384,3.794,0.0
0.568,0.937,0.233,0.067,0.175,0.043,0.519,3.803,0.0
0.495,0.95,0.15,0.062,0.13,0.04,0.381,3.826,0.0
0.547,0.948,0.196,0.052,0.143,0.036,0.426,3.828,0.0
0.6,0.952,0.221,0.05,0.126,0.04,0.438,3.809,0.0
0.635,0.956,0.239,0.048,0.131,0.044,0.462,3.778,0.0
0.639,0.95,0.186,0.047,0.157,0.044,0.433,3.788,0.0
0.514,0.96,0.201,0.047,0.108,0.037,0.392,3.803,0.0
0.549,0.958,0.219,0.051,0.126,0.039,0.434,3.795,0.0
0.522,0.956,0.174,0.039,0.123,0.036,0.373,3.859,0.0
0.532,0.972,0.194,0.03,0.088,0.04,0.351,3.83,0.0
0.571,0.964,0.125,0.034,0.095,0.039,0.294,3.841,0.0
0.625,0.953,0.229,0.046,0.125,0.042,0.442,3.807,0.0
0.64,0.968,0.174,0.031,0.095,0.04,0.34,3.824,0.0
0.657,0.966,0.129,0.03,0.1,0.035,0.295,3.8,0.0
0.683,0.954,0.166,0.033,0.123,0.042,0.364,3.828,0.0
0.651,0.968,0.166,0.03,0.093,0.035,0.325,3.827,0.0
0.633,0.968,0.157,0.03,0.1,0.035,0.322,3.82,0.0
0.704,0.97,0.169,0.022,0.092,0.035,0.318,3.783,0.0
0.633,0.975,0.185,0.029,0.081,0.031,0.326,3.84,0.0
0.617,0.976,0.128,0.023,0.07,0.034,0.256,3.836,0.0
0.705,0.974,0.131,0.02,0.079,0.034,0.264,3.783,0.0
0.684,0.968,0.171,0.029,0.104,0.033,0.337,3.794,0.0
0.72,0.978,0.158,0.018,0.067,0.033,0.276,3.794,0.0
0.665,0.978,0.184,0.019,0.057,0.028,0.288,3.793,0.0
